,Review,Rating
0,"[[('consegu', 'VERB'), ('acess', 'VERB'), ('títul', 'NOUN'), ('extrem', 'ADJ'), ('facil', 'NOUN')]]",5
1,"[[('instal', 'NOUN'), ('final', 'NOUN'), ('seman', 'NOUN'), ('funcion', 'VERB'), ('procur', 'VERB'), ('cadastr', 'NOUN'), ('deu', 'VERB'), ('err', 'NOUN')], [('realiz', 'VERB'), ('cadastr', 'NOUN'), ('hor', 'NOUN'), ('comerc', 'ADJ'), ('coloc', 'VERB'), ('nom', 'NOUN'), ('pal', 'NOUN'), ('const', 'VERB'), ('títul', 'NOUN'), ('funcion', 'VERB'), ('direit', 'NOUN')]]",4
2,"[[('func', 'VERB'), ('pod', 'VERB'), ('coloc', 'VERB'), ('dad', 'NOUN'), ('acent', 'NOUN'), ('acent', 'NOUN'), ('coloc', 'VERB'), ('barr', 'NOUN'), ('aparec', 'VERB'), ('digit', 'VERB'), ('dat', 'NOUN'), ('softw', 'NOUN'), ('déc', 'NOUN'), ('faz', 'VERB'), ('dinh', 'NOUN'), ('pov', 'NOUN'), ('jog', 'VERB'), ('lix', 'NOUN')]]",1
3,"[[('func', 'VERB')]]",5
4,"[[('consult', 'NOUN'), ('títul', 'NOUN'), ('sit', 'NOUN'), ('justiç', 'NOUN'), ('eleitor', 'ADJ'), ('consig', 'VERB'), ('ver', 'VERB'), ('dad', 'NOUN'), ('local', 'ADJ'), ('vot', 'NOUN')], [('tent', 'VERB'), ('us', 'VERB'), ('diz', 'VERB'), ('elei', 'NOUN'), ('encontr', 'VERB')], [('vist', 'VERB'), ('únic', 'ADJ'), ('reclam', 'VERB'), ('problem', 'NOUN'), ('pass', 'VERB'), ('hor', 'NOUN'), ('desenvolv', 'NOUN'), ('corrig', 'VERB')]]",1
5,"[[('funcion', 'VERB'), ('lg', 'NOUN'), ('q6+', 'NOUN')], [('dad', 'NOUN'), ('entr', 'VERB'), ('consegu', 'VERB'), ('visual', 'VERB'), ('certific', 'VERB')], [('bom', 'ADJ'), ('prát', 'ADJ')]]",5
6,"[[('útil', 'ADJ')]]",5
7,"[[('vou', 'VERB'), ('log', 'VERB'), ('aparec', 'VERB'), ('avis', 'NOUN'), ('tent', 'VERB')], [('consegu', 'VERB'), ('acess', 'VERB'), ('vez', 'NOUN')], [('horr', 'ADJ')]]",1
8,"[[('tenh', 'VERB'), ('comparec', 'VERB'), ('zon', 'NOUN'), ('eleitor', 'NOUN'), ('mud', 'VERB'), ('fot', 'NOUN'), ('exist', 'VERB'), ('fot', 'NOUN'), ('títul', 'NOUN')]]",4
9,"[[('vot', 'NOUN'), ('dev', 'VERB'), ('deix', 'VERB'), ('ser', 'VERB'), ('obrigatori', 'NOUN'), ('vot', 'VERB'), ('net', 'NOUN')], [('poli', 'NOUN'), ('corrupt', 'NOUN'), ('dev', 'VERB'), ('ser', 'VERB'), ('exclu', 'VERB'), ('imped', 'VERB'), ('candidat', 'VERB')]]",3
