,Review,Rating
0,"[[('app', 'NOUN'), ('tav', 'NOUN'), ('cnh', 'NOUN'), ('provis', 'NOUN'), ('venc', 'VERB'), ('solicit', 'VERB'), ('nov', 'ADJ')], [('apresent', 'VERB'), ('antig', 'ADJ')], [('detran', 'NOUN'), ('inform', 'VERB'), ('ja', 'NOUN'), ('ok', 'NOUN'), ('sistem', 'NOUN'), ('estad', 'ADJ'), ('nacion', 'ADJ')], [('fac', 'NOUN'), ('pro', 'NOUN'), ('mostr', 'VERB'), ('cnh', 'NOUN'), ('nov', 'NOUN')], [('cnh', 'NOUN'), ('digit', 'NOUN'), ('atual', 'VERB')], [('por', 'VERB'), ('notific', 'NOUN'), ('log', 'VERB'), ('perceb', 'VERB'), ('faix', 'NOUN'), ('vermelh', 'ADJ'), ('mens', 'NOUN'), ('quot', 'NOUN'), ('cnh', 'NOUN'), ('venc', 'NOUN'), ('quot', 'NOUN'), ('nao', 'NOUN'), ('aparec', 'VERB'), ('cnh', 'NOUN'), ('exib', 'VERB'), ('cnh', 'NOUN'), ('antig', 'ADJ')], [('faz', 'VERB'), ('logoff', 'NOUN'), ('log', 'VERB'), ('ai', 'NOUN'), ('cnh', 'NOUN'), ('nov', 'NOUN'), ('exib', 'VERB')]]",4
1,"[[('burocrac', 'NOUN'), ('restr', 'NOUN'), ('realiz', 'VERB'), ('cadastr', 'NOUN')], [('intuit', 'NOUN'), ('facil', 'VERB'), ('vid', 'NOUN'), ('cidad', 'NOUN'), ('tir', 'NOUN'), ('saiu', 'VERB')], [('é', 'VERB'), ('simpl', 'ADJ'), ('and', 'NOUN'), ('cnh', 'NOUN'), ('físic', 'ADJ'), ('submet', 'VERB'), ('perreng', 'VERB'), ('consegu', 'VERB'), ('cadastr', 'VERB')]]",1
2,"[[('mes', 'NOUN'), ('baix', 'VERB'), ('aplic', 'ADJ'), ('funcion', 'VERB'), ('exclu', 'VERB'), ('aplic', 'ADJ'), ('celul', 'ADJ')], [('baix', 'VERB'), ('disposi', 'NOUN'), ('tent', 'VERB'), ('entr', 'VERB'), ('aparec', 'VERB'), ('mens', 'NOUN'), ('err', 'NOUN'), ('diz', 'VERB'), ('login', 'NOUN'), ('feit', 'VERB'), ('disposi', 'NOUN'), ('precis', 'ADJ'), ('bloqu', 'VERB'), ('acess', 'NOUN'), ('disposi', 'NOUN')], [('fiz', 'VERB'), ('login', 'NOUN'), ('disposi', 'NOUN')], [('têm', 'VERB'), ('resolv', 'VERB')], [('obrig', 'VERB')]]",2
3,"[[('faz', 'VERB'), ('sent', 'NOUN'), ('ter', 'VERB'), ('detran', 'NOUN'), ('atual', 'VERB'), ('dad', 'NOUN'), ('atual', 'VERB')], [('pur', 'NOUN'), ('perd', 'NOUN'), ('temp', 'NOUN')], [('perc', 'VERB'), ('temp', 'NOUN')]]",1
4,"[[('grand', 'ADJ'), ('impecili', 'NOUN'), ('é', 'VERB'), ('ter', 'VERB'), ('q', 'NOUN'), ('ir', 'VERB'), ('cfc', 'NOUN'), ('cas', 'NOUN'), ('pq', 'NOUN'), ('pass', 'VERB'), ('frent', 'NOUN'), ('q', 'NOUN'), ('ir', 'VERB'), ('gent', 'NOUN'), ('cnh', 'NOUN'), ('digit', 'ADJ')]]",4
5,"[[('process', 'NOUN'), ('horr', 'ADJ'), ('reclam', 'NOUN'), ('elogi', 'NOUN'), ('googl', 'NOUN'), ('play', 'NOUN'), ('desenvolv', 'NOUN'), ('aceit', 'VERB'), ('sugest', 'NOUN'), ('fic', 'VERB'), ('tent', 'VERB'), ('dar', 'VERB'), ('justific', 'NOUN'), ('process', 'NOUN'), ('burocrá', 'ADJ'), ('via', 'NOUN'), ('cnh', 'NOUN'), ('papel', 'NOUN')], [('ouv', 'VERB'), ('fal', 'VERB'), ('experi', 'NOUN'), ('usu', 'NOUN')], [('coloqu', 'VERB'), ('sugest', 'NOUN'), ('backlog', 'NOUN'), ('faç', 'VERB'), ('melh', 'NOUN')]]",1
6,"[[('est', 'VERB'), ('ped', 'VERB'), ('certific', 'VERB'), ('digit', 'ADJ'), ('q', 'NOUN'), ('ir', 'VERB'), ('cfc', 'NOUN')], [('ach', 'VERB'), ('q', 'NOUN'), ('negóci', 'NOUN'), ('onlin', 'NOUN'), ('dest', 'NOUN'), ('form', 'NOUN'), ('vai', 'VERB'), ('frent', 'NOUN')]]",1
7,"[[('n', 'NOUN'), ('to', 'NOUN'), ('consegu', 'VERB'), ('acess', 'VERB'), ('diz', 'VERB'), ('q', 'NOUN'), ('ativ', 'VERB'), ('cont', 'NOUN'), ('send', 'VERB'), ('q', 'NOUN'), ('ja', 'NOUN'), ('receb', 'VERB'), ('e-mail', 'NOUN'), ('ativ', 'VERB')]]",1
8,"[[('prát', 'ADJ')], [('ter', 'VERB'), ('problem', 'NOUN'), ('aconselh', 'NOUN'), ('descaracter', 'VERB'), ('cnh', 'NOUN'), ('antig', 'ADJ'), ('desfaz', 'VERB'), ('dig', 'VERB'), ('venc', 'VERB')], [('consider', 'VERB'), ('falh', 'NOUN'), ('grav', 'ADJ'), ('seguranç', 'NOUN')], [('interess', 'NOUN'), ('resolv', 'VERB'), ('respond', 'VERB'), ('avali', 'NOUN')]]",4
9,"[[('tem', 'VERB'), ('ir', 'VERB'), ('detran', 'NOUN'), ('prát', 'ADJ')]]",1
10,"[[('começ', 'VERB')], [('melhor', 'ADJ'), ('fiz', 'VERB'), ('integr', 'NOUN'), ('aplic', 'ADJ'), ('sne', 'NOUN'), ('denatran', 'NOUN'), ('serv', 'VERB'), ('emit', 'VERB'), ('mult', 'NOUN'), ('cobranç', 'NOUN')], [('veícul', 'NOUN'), ('cadastr', 'VERB'), ('cpf', 'NOUN')], [('cnh', 'NOUN'), ('digit', 'ADJ'), ('cont', 'VERB'), ('crv', 'NOUN'), ('digit', 'ADJ'), ('veícul', 'NOUN')], [('artig', 'NOUN')], [('*quase*', 'NOUN'), ('exim', 'VERB'), ('necess', 'NOUN'), ('port', 'VERB'), ('crv', 'NOUN')]]",3
