,Review,Rating
0,"[[('bom', 'ADJ'), ('ruim', 'ADJ'), ('atual', 'VERB'), ('classific', 'NOUN')], [('é', 'VERB'), ('melhor', 'ADJ'), ('acompanh', 'VERB'), ('brasile', 'VERB')]]",5
1,"[[('melhor', 'ADJ'), ('acompanh', 'VERB'), ('campeonat', 'NOUN'), ('brasil', 'ADJ')]]",5
2,"[[('est', 'VERB'), ('esper', 'VERB'), ('atualiz', 'VERB'), ('escud', 'NOUN'), ('flameng', 'NOUN')]]",2
3,"[[('gol', 'NOUN'), ('atlé', 'NOUN'), ('anul', 'VERB')], [('senh', 'NOUN'), ('antil', 'ADJ'), ('dess', 'VERB'), ('websit', 'NOUN'), ('mantev', 'VERB'), ('1x0', 'NOUN'), ('temp', 'NOUN')], [('boa', 'ADJ')], [('decepcion', 'VERB')], [('fui', 'VERB')]]",2
4,"[[('app', 'NOUN'), ('caiu', 'VERB'), ('conceit', 'NOUN')], [('atualiz', 'VERB')]]",1
5,"[[('top', 'NOUN')]]",5
6,"[[('app', 'NOUN')], [('feit', 'VERB'), ('lev', 'VERB')], [('obrigatóri', 'NOUN'), ('curt', 'NOUN'), ('futebol', 'NOUN'), ('qu', 'VERB'), ('acompanh', 'VERB'), ('brasile', 'VERB')]]",5
7,"[[('é', 'VERB'), ('ótim', 'ADJ')], [('respeit', 'VERB'), ('configur', 'NOUN'), ('notific', 'NOUN')], [('marq', 'VERB'), ('aparec', 'VERB'), ('notific', 'NOUN'), ('continu', 'VERB'), ('receb', 'VERB'), ('dia', 'NOUN')]]",3
8,"[[('bom', 'ADJ')]]",5
9,"[[('bom', 'ADJ')]]",5
10,"[[('very', 'NOUN'), ('good', 'NOUN'), ('application', 'NOUN')]]",5
11,"[[('faz', 'VERB'), ('tir', 'VERB'), ('notific', 'NOUN'), ('fic', 'VERB'), ('cim', 'NOUN'), ('aplic', 'ADJ')]]",5
12,"[[('very', 'NOUN'), ('good', 'NOUN'), ('vai', 'VERB'), ('corinth', 'NOUN')]]",5
13,"[[('great', 'NOUN'), ('one', 'NOUN')]]",5
14,"[[('great', 'NOUN')]]",5
15,"[[('melhor', 'ADJ'), ('brasile', 'VERB')], [('tô', 'NOUN'), ('impression', 'VERB')]]",5
16,"[[('good', 'NOUN')]]",5
17,"[[('i', 'ADJ'), ('liked', 'NOUN'), ('about', 'NOUN'), ('of', 'NOUN')]]",5
18,"[[('precis', 'VERB'), ('coloc', 'VERB'), ('opç', 'NOUN'), ('simul', 'VERB'), ('result', 'NOUN'), ('gent', 'NOUN'), ('ter', 'VERB'), ('noç', 'NOUN'), ('pod', 'VERB'), ('ser', 'VERB'), ('rod', 'NOUN'), ('tim', 'NOUN'), ('ganh', 'VERB'), ('perd', 'VERB')]]",5
19,"[[('bom', 'ADJ')], [('tem', 'VERB'), ('potenc', 'ADJ'), ('torn', 'VERB'), ('otim', 'ADJ')], [('recomend', 'NOUN'), ('-adic', 'VERB'), ('compet', 'NOUN'), ('-sincron', 'VERB'), ('hor', 'NOUN'), ('part', 'NOUN'), ('celul', 'ADJ'), ('-lanc', 'NOUN'), ('lanc', 'VERB'), ('inform', 'NOUN'), ('-mostr', 'VERB'), ('temp', 'NOUN'), ('part', 'NOUN'), ('-mostr', 'VERB'), ('%', 'NOUN'), ('aproveit', 'NOUN'), ('tim', 'NOUN'), ('compet', 'NOUN'), ('-mostr', 'VERB'), ('desempenh', 'NOUN'), ('últ', 'ADJ'), ('jog', 'NOUN'), ('vitór', 'NOUN'), ('empat', 'NOUN'), ('derrot', 'NOUN'), ('=', 'NOUN'), ('v', 'NOUN'), ('d', 'NOUN'), ('v', 'NOUN'), ('v', 'NOUN')]]",3
20,"[[('uso', 'NOUN'), ('prim', 'ADJ'), ('vers', 'NOUN'), ('problem', 'NOUN'), ('long', 'ADJ'), ('ano', 'NOUN')], [('falt', 'VERB'), ('ter', 'VERB'), ('séri', 'NOUN'), ('c', 'NOUN'), ('pro', 'NOUN'), ('ser', 'VERB'), ('complet', 'ADJ')]]",4
21,"[[('frac', 'NOUN')], [('horari', 'NOUN'), ('do', 'NOUN'), ('jog', 'NOUN'), ('nao', 'NOUN'), ('é', 'VERB'), ('sincron', 'VERB'), ('gp', 'NOUN'), ('celul', 'ADJ')], [('jog', 'NOUN'), ('and', 'NOUN'), ('nao', 'NOUN'), ('aprsent', 'VERB'), ('temp', 'NOUN'), ('part', 'NOUN')]]",1
22,"[[('very', 'NOUN'), ('good', 'NOUN')]]",5
23,"[[('great', 'NOUN')]]",5
24,"[[('it', 'NOUN'), (""'s"", 'NOUN'), ('very', 'NOUN'), ('good', 'NOUN')]]",5
25,"[[('bom', 'ADJ')]]",5
26,"[[('melhor', 'ADJ')], [('ser', 'VERB'), ('ped', 'VERB'), ('vers', 'NOUN'), ('brasile', 'VERB'), ('libert', 'NOUN')]]",5
